LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2013	0	6485558	3366228	9851786	195295	92624	5435	2082	295436	0	0	0	295436	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2014	0	6482557	3393224	9875781	197859	82072	4230	2806	286967	0	0	0	286967	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2015	0	7828412	3170011	10998423	222103	67612	3163	3372	296250	0	0	0	296250	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2016	0	8215871	3260187	11476058	230188	62950	3261	3500	299899	0	0	0	299899	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2017	0	7993282	3483457	11476739	241993	49033	3844	3255	298125	0	0	0	298125	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2018	0	7706640	3704728	11411368	232124	59324	3290	2797	297535	0	0	0	297535	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2019	0	7825300	3681209	11506509	239639	52557	2829	2818	297843	0	0	0	297843	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2020	0	4146612	1797214	5943826	160286	24216	2097	2158	188757	0	0	0	188757	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2021	0	3359168	1479878	4839046	121117	4318	1491	1616	128542	0	0	0	128542	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2022	0	7166341	3795613	10961954	281374	1513	2161	1532	286580	0	0	0	286580	0	0
DCA 	AEA	Ronald Reagan Washington Ntl                                                                        	WASHINGTON                              	DC	7	1	L	2023	0	8282843	3965253	12248096	293067	3784	2148	2003	301002	0	0	0	301002	0	0
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2013	0	7427462	3145966	10573428	161602	129850	41094	956	333502	0	0	0	333502	0	50
IAD 	AEA	WASHINGTON DULLES INTL                            	WASHINGTON                              	DC	7	1	L	2014	0	7367776	3044676	10412452	153876	124541	40132	689	319238	0	0	0	319238	0	54
