LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2013	0	371011	80936	451947	10334	34636	36745	1994	83709	30269	523	30792	114501	89909	541
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2014	0	290586	167300	457886	11780	34201	40176	1599	87756	37656	254	37910	125666	92508	570
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2015	0	251890	227814	479704	12815	32606	36137	2002	83560	34591	228	34819	118379	93354	570
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2016	0	284920	236237	521157	13508	31584	39795	2907	87794	37116	692	37808	125602	95373	570
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2017	0	331532	207318	538850	12397	30252	38558	2087	83294	33636	413	34049	117343	90929	570
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2018	0	446489	102545	549034	11188	28672	37218	2140	79218	32879	895	33774	112992	87023	569
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2019	0	485522	70533	556055	11253	26605	36907	2153	76918	31598	568	32166	109084	88887	569
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2020	0	275695	33073	308768	7618	20086	33320	1870	62894	35787	562	36349	99243	67968	569
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2021	0	277147	117580	394727	10188	20228	36273	2261	68950	34107	770	34877	103827	82462	569
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2022	0	369839	130289	500128	10721	21902	33398	2816	68837	30889	1302	32191	101028	85725	569
FAI 	AAL	FAIRBANKS INTL                                    	FAIRBANKS	AK	3	1	S	2023	0	397288	146007	543295	11233	22560	33983	2757	70533	31078	737	31815	102348	84235	571
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2013	0	100399	411484	511883	5914	20817	16783	285	43799	8242	146	8388	52187	66514	126
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2014	0	127520	433319	560839	6581	19398	15628	183	41790	7198	4	7202	48992	64856	126
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2015	0	117158	445647	562805	11267	14453	15989	340	42049	7584	48	7632	49681	65303	126
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2016	0	121683	413070	534753	10832	13878	15170	197	40077	8030	32	8062	48139	60741	126
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2017	0	174454	397125	571579	12548	13036	14812	175	40571	8359	16	8375	48946	63970	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2018	0	252860	340071	592931	14033	10342	14190	227	38792	9570	80	9650	48442	60886	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2019	0	262764	388901	651665	14147	11054	13310	244	38755	10438	16	10454	49209	59352	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2020	0	153778	255777	409555	13449	6856	13635	202	34142	12317	15	12332	46474	50874	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2021	0	142858	305607	448465	13781	7377	12934	245	34337	8827	30	8857	43194	54163	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2022	0	260097	348776	608873	13457	9586	12609	246	35898	8368	47	8415	44313	56165	128
CID 	ACE	The Eastern Iowa                                                                                    	CEDAR RAPIDS	IA	3	1	S	2023	0	470363	202642	673005	14909	4857	12808	249	32823	8824	58	8882	41705	54076	129
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2013	0	428533	640362	1068895	20328	22607	24966	1914	69815	6317	1632	7949	77764	101520	135
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2014	0	514776	613037	1127813	22642	19426	23079	630	65777	4652	114	4766	70543	96154	119
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2015	0	518706	624044	1142750	27506	12855	23678	1114	65153	4109	465	4574	69727	99467	110
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2016	0	663943	545544	1209487	28271	12174	23589	1098	65132	3676	531	4207	69339	98589	111
DSM 	ACE	DES MOINES INTL                                   	DES MOINES	IA	3	1	S	2017	0	709947	536500	1246447	32061	8536	23432	1464	65493	4026	665	4691	70184	99869	110
