age,workStatus,facultyDummy,staffDummy,gender,race_1,race_2,race_3,race_9,race_10,race_11,race_12,race_12_TEXT,race_13,income,childrenDependents,schoolDivision,schoolDivision_25_TEXT,originlat,originlon,destinlat,destinlon,total_trips_old,commuteCampus_1,commute_days,modeChoice_1old,modeChoice_2old,modeChoice_3old,modeChoice_4old,modeChoice_5old,modeChoice_6old,modeChoice_7old,modeChoice_8old,modeChoice_9old,modeChoice_10old,modeChoice_1,modeChoice_2,modeChoice_3,modeChoice_4,modeChoice_5,modeChoice_6,modeChoice_7,modeChoice_8,modeChoice_9,modeChoice_10,arrivalTime,totalHours,reasonabilyUtilize_1,reasonabilyUtilize_2,reasonabilyUtilize_3,reasonabilyUtilize_4,reasonabilyUtilize_5,reasonabilyUtilize_6,reasonabilyUtilize_7,reasonabilyUtilize_8,whyBike_1,whyBike_2,whyBike_3,whyBike_5,whyBike_6,whyBike_7,whyBike_8,whyBike_9,whyBike_10,whyWalk_1,whyWalk_2,whyWalk_4,whyWalk_5,whyWalk_6,whyWalk_7,whyCarpool_1,whyCarpool_2,whyCarpool_3,whyCarpool_4,whyCarpool_5,whyCarpool_6,whyCarpool_7,whyVanpool_1,whyVanpool_2,whyVanpool_3,whyVanpool_4,whyVanpool_5,whyVanpool_6,whyTransit_1,whyTransit_2,whyTransit_3,whyTransit_4,whyTransit_6,whyTransit_7,whyTransit_8,whyTransit_9,whyTransit_10,scenarioBikeWalkDr,scenarioCarpoolD,scenarioTransitD,scenarioBikeWalkTr,envImpact_1,envImpact_1_dummy,envImpact_2,envImpact_2_dummy,longdistYN,longdistTripsCompare_1,longdistTripsCompare_2,longdistTripsCompare_3,longdistTripsCompare_4,longdistTripsNYC,longdistTripsBos,longdistTripsPitt,longdistTripsDriveRe_1,longdistTripsDriveRe_2,longdistTripsFlyReas_1,longdistTripsFlyReas_2,longdistTripsFlyReas_3,geometry
35-44,Faculty,1,0,"",White,"","",Asian,"","","","","","$150,000 or more",Yes,Perelman School of Medicine,"",39.9470367,-75.1523939,39.9569826,-75.1974906,5,1,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6:00-8:00 AM,11-20 hours,"",Public Transit,Walk,"","",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Neither agree nor disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.1523939|39.9470367
25-34,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,School of Arts and Sciences,"",39.9636585,-75.1690983,39.9529913,-75.1922872,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1690983|39.9636585
35-44,Staff,0,1,Man,White,"","","","","","","","","$60,000 - $79,999",No,Annenberg School for Communication,"",39.9454565,-75.2276424,39.9527227,-75.1959186,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,"",Bike,"",Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Takes too long,"","","",I prefer my current type of transportation,"","","","","","Walk or bike three days per week.
Take public transit two days per week.
Pay for transit fare.
Receive $20/month in bicycle expenses.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.2276424|39.9454565
25-34,Staff,0,1,Woman,White,"","","","","","","","","$40,000 - $59,999",No,Perelman School of Medicine,"",39.9117143,-75.0524107,39.9522188,-75.1932137,4,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"",Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Agree,Agree,Agree,Agree,No,"","","","","","","","","","","","",-75.0524107|39.9117143
35-44,Staff,0,1,"","",Black or African American,"","","","","","","","$40,000 - $59,999",No,School of Arts and Sciences,"",40.0317558,-75.1789196,39.9522188,-75.1932137,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,"",Public Transit,"",Bike,"","","","","",I believe it's unsafe,"","","",I can't park my bike,"",I have to bring a change of clothes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1789196|40.0317558
25-34,Staff,0,1,Woman,White,"","","","","","","","","$150,000 or more",No,School of Nursing,"",39.9253586,-75.5710841,39.94913409999999,-75.19601500000002,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,21-30 hours,Personal car,Public Transit,"","","","","","","","","","","","","","","","","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Neither agree nor disagree,Disagree or Nuetral,Agree,Agree,No,"","","","","","","","","","","","",-75.5710841|39.9253586
25-34,Graduate Student,0,0,Woman,"","","","","","","","","","Less than $20,000",No,Carey School of Law,"",39.9713701,-75.1655107,39.9539018,-75.1929845,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,"",Public Transit,Walk,"","","","","","","","","","","","","","","","",Takes too long,"",I can't carry my work materials,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Neither agree nor disagree,Disagree or Nuetral,Disagree,Disagree or Nuetral,No,"","","","","","","","","","","","",-75.1655107|39.9713701
25-34,Graduate Student,0,0,Woman,White,"","","","","","","","","$20,000 - $39,999",No,Perelman School of Medicine,"",39.9536418,-75.1987107,39.9522188,-75.1932137,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8:00-10:00 AM,31-40 hours,"","",Walk,Bike,"","","","","","","","","","","","",I prefer my current type of transportation,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Disagree or Nuetral,"",Disagree or Nuetral,No,"","","","","","","","","","","","",-75.1987107|39.9536418
25-34,Staff,0,1,Woman,White,"","","","","","","","","$140,000 - $149,999",No,Perelman School of Medicine,"",40.0364981,-75.1862792,39.94623989999999,-75.196556,4,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,Public Transit,"",Bike,"","","","","","","",Takes too long	,Weather,"","",I have to bring a change of clothes,"","","","","","","","","","","",Don't know how to find a carpool partner,"","","","","","","","","","","","","","","","","","","","Drive alone three days a week
Take public transit two days a week
Pay $210 for monthly parking.Pay for transit fare.
Both together are eligible for upto $280 monthly payroll pre-tax exemption.","Take public transit three days per week. 
Walk or bike two days per week. 
Pay for monthly transit fare up to $280 via payroll pre-tax deduction.",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.1862792|40.0364981
35-44,Staff,0,1,Woman,White,"","","","","","","","","$100,000 - $119,999",No,The Wharton School,"",39.9593175,-75.2878235,39.9519137,-75.1836458,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8:00-10:00 AM,11-20 hours,Personal car,Public Transit,"","",Carpool,Rideshare or taxi,"","","","","","","","","","","","","","","","","","","","","",Don't know how to find a carpool partner,"","","","","","","","","","","","","","","","","","","",Drive alone to work every day.Pay $210 monthly cost via payroll pre-tax deduction for parking.,"",Strongly Agree,Agree,Strongly Agree,Agree,No,"","","","","","","","","","","","",-75.2878235|39.9593175
